N,bin_i,bin_j,c2_mean,c2_err,n_pairs_mean,n_valid_events,c2_approx,c2_exact,mean_p1_sq,mean_p2_sq,bin_i_mean_count,bin_j_mean_count,sqrt_c2,bin_pair
80,high,high,0.0016639214960246012,0.0003212786234663642,173.78345,80000,0.0009813045994999535,0.0010171944213946717,1.2958143512167775,1.2958143512167775,13.2605625,13.2605625,0.04079119385387735,high_high
90,low,low,-0.00015880744952364415,0.0001641522417192568,534.911475,80000,1.1667273796644115e-05,1.1671386821404464e-05,0.15940929185305003,0.15940929185305003,23.261225,23.261225,0.012601882776936316,low_low
90,low,mid,0.00022624707496274131,0.00011634806755567627,485.5834375,80000,2.971976852362033e-05,2.976521250779253e-05,0.15940929185305003,0.40605949058550184,23.261225,21.1035875,0.0150415117246486,low_mid
90,low,high,-3.681720034868341e-05,0.0001401756604908086,344.4548,80000,9.512185758929618e-05,9.66022924331061e-05,0.15940929185305003,1.2996444775657732,23.261225,14.978975,0.006067717886378981,low_high
90,mid,low,0.00022624707496274131,0.00011634806755567627,485.5834375,80000,2.971976852362033e-05,2.9765212507792525e-05,0.40605949058550184,0.15940929185305003,21.1035875,23.261225,0.0150415117246486,mid_low
90,mid,mid,5.858846711218033e-05,0.00018259473549651664,440.473375,80000,7.570445817013649e-05,7.590674788684097e-05,0.40605949058550184,0.40605949058550184,21.1035875,21.1035875,0.007654310361631564,mid_mid
90,mid,high,0.00016365727218632426,0.0001480079921453362,312.594225,80000,0.0002423016411857753,0.0002463307201149546,0.40605949058550184,1.2996444775657732,21.1035875,14.978975,0.01279286020350118,mid_high
90,high,low,-3.681720034868341e-05,0.0001401756604908086,344.4548,80000,9.512185758929618e-05,9.660229243310609e-05,1.2996444775657732,0.15940929185305003,14.978975,23.261225,0.006067717886378981,high_low
90,high,mid,0.00016365727218632426,0.0001480079921453362,312.594225,80000,0.0002423016411857753,0.00024633072011495455,1.2996444775657732,0.40605949058550184,14.978975,21.1035875,0.01279286020350118,high_mid
90,high,high,0.0010998408047028902,0.0002747837610083726,221.9505,80000,0.000775516881573559,0.0007992677930684049,1.2996444775657732,1.2996444775657732,14.978975,14.978975,0.03316384785731128,high_high
100,low,low,0.0001804338943376413,0.0001479012075656708,659.7952,80000,9.409345725636415e-06,9.41102338389944e-06,0.15942339531310848,0.15942339531310848,25.81885,25.81885,0.013432568419242884,low_low
100,low,mid,-5.98733318775359e-05,0.00010534387369916685,599.6158375,80000,2.3985013416686143e-05,2.4000774117885083e-05,0.15942339531310848,0.40638025076498496,25.81885,23.459,0.007737785980339331,low_mid
100,low,high,0.00012268153308829497,0.0001256051323726941,426.5194,80000,7.676365263985694e-05,7.789482954524712e-05,0.15942339531310848,1.3006135067541402,25.81885,16.684625,0.01107616960362629,low_high
100,mid,low,-5.98733318775359e-05,0.00010534387369916685,599.6158375,80000,2.3985013416686143e-05,2.4000774117885093e-05,0.40638025076498496,0.15942339531310848,23.459,25.81885,0.007737785980339331,mid_low
100,mid,mid,0.0004745346225426038,0.00016376066014532379,544.766025,80000,6.11393061083112e-05,6.120705012250769e-05,0.40638025076498496,0.40638025076498496,23.459,23.459,0.021783815610278284,mid_mid
100,mid,high,0.00013762958842963136,0.00013266134550509115,387.48,80000,0.00019567537341777,0.00019863344329536432,0.40638025076498496,1.3006135067541402,23.459,16.684625,0.01173156376744513,mid_high
100,high,low,0.00012268153308829497,0.0001256051323726941,426.5194,80000,7.676365263985694e-05,7.789482954524712e-05,1.3006135067541402,0.15942339531310848,16.684625,25.81885,0.01107616960362629,high_low
100,high,mid,0.00013762958842963136,0.00013266134550509115,387.48,80000,0.00019567537341777,0.00019863344329536437,1.3006135067541402,0.40638025076498496,16.684625,23.459,0.01173156376744513,high_mid
100,high,high,0.0010499278736997581,0.00024548788922210336,275.68365,80000,0.0006262559096492395,0.0006445421072124246,1.3006135067541402,1.3006135067541402,16.684625,16.684625,0.03240259053995156,high_high
