T,N,bin_i,bin_j,bin_i_idx,bin_j_idx,c2_mean,c2_std,c2_exact,mean_p1,mean_p1_sq,mean_p1_cu,mean_p1_qu,mean_n1,mean_p2,mean_p2_sq,mean_p2_cu,mean_p2_qu,mean_n2,mean_p1_p2,p1_sq_p2_sq,mean_p2_F,inv_N,mean_n_accepted,n_valid_events
0.15,8,high,mid,2,1,0.30093809975241925,0.012315124884700039,0.2146658359734349,0.9261091854724169,0.8723421673167713,0.8383252198565578,0.8249531294119186,0.09341145833333334,0.6022086914800477,0.3687313777060045,0.2297005674715482,0.14562501752813906,0.7176302083333334,0.557711000750997,0.321659929185755,0.135,0.125,2.7205208333333335,2168
0.15,8,high,high,2,2,0.393667776186675,0.03328042867378314,0.42266374203759716,0.9261091854724169,0.8723421673167713,0.8383252198565578,0.8249531294119186,0.09341145833333334,0.9261091854724169,0.8723421673167713,0.8383252198565578,0.8249531294119186,0.09341145833333334,0.8576782234163836,0.7609808568789218,0.135,0.125,2.7205208333333335,302
0.15,9,low,low,0,0,0.028300768043685632,0.0033790193446437216,0.012829866117094073,0.3832948354944063,0.15004285359275285,0.0599704673956379,0.024455695542891967,2.177265625,0.3832948354944063,0.15004285359275285,0.0599704673956379,0.024455695542891967,2.177265625,0.14691493091668398,0.02251285791425627,0.135,0.1111111111111111,3.1356510416666667,26178
0.15,9,low,mid,0,1,0.07170669919771114,0.003395540061941152,0.031446922816991976,0.3832948354944063,0.15004285359275285,0.0599704673956379,0.024455695542891967,2.177265625,0.6029956843554767,0.36967600314921656,0.23055774813698182,0.14632226900818954,0.8384375,0.23112513163886939,0.05546724241727194,0.135,0.1111111111111111,3.1356510416666667,19642
0.15,9,low,high,0,2,0.11402588479360345,0.008347507640484555,0.07613003247742738,0.3832948354944063,0.15004285359275285,0.0599704673956379,0.024455695542891967,2.177265625,0.9249795003756917,0.8703049445272812,0.8355998405482715,0.8218354875189862,0.11994791666666667,0.35453986543219884,0.13058303737275576,0.135,0.1111111111111111,3.1356510416666667,3812
0.15,9,mid,low,1,0,0.07170669919771114,0.003395540061941152,0.031446922816991976,0.6029956843554767,0.36967600314921656,0.23055774813698182,0.14632226900818954,0.8384375,0.3832948354944063,0.15004285359275285,0.0599704673956379,0.024455695542891967,2.177265625,0.23112513163886939,0.05546724241727194,0.135,0.1111111111111111,3.1356510416666667,19642
0.15,9,mid,mid,1,1,0.14578183252951538,0.00699157093984213,0.07454936800327581,0.6029956843554767,0.36967600314921656,0.23055774813698182,0.14632226900818954,0.8384375,0.6029956843554767,0.36967600314921656,0.23055774813698182,0.14632226900818954,0.8384375,0.36360379535132964,0.13666034730437956,0.135,0.1111111111111111,3.1356510416666667,8202
0.15,9,mid,high,1,2,0.24504737008682453,0.010790009993436248,0.16863056958552228,0.6029956843554767,0.36967600314921656,0.23055774813698182,0.14632226900818954,0.8384375,0.9249795003756917,0.8703049445272812,0.8355998405482715,0.8218354875189862,0.11994791666666667,0.557758646843827,0.32173085341384594,0.135,0.1111111111111111,3.1356510416666667,2834
0.15,9,high,low,2,0,0.11402588479360345,0.008347507640484555,0.0761300324774274,0.9249795003756917,0.8703049445272812,0.8355998405482715,0.8218354875189862,0.11994791666666667,0.3832948354944063,0.15004285359275285,0.0599704673956379,0.024455695542891967,2.177265625,0.35453986543219884,0.13058303737275576,0.135,0.1111111111111111,3.1356510416666667,3812
0.15,9,high,mid,2,1,0.24504737008682453,0.010790009993436248,0.1686305695855223,0.9249795003756917,0.8703049445272812,0.8355998405482715,0.8218354875189862,0.11994791666666667,0.6029956843554767,0.36967600314921656,0.23055774813698182,0.14632226900818954,0.8384375,0.557758646843827,0.32173085341384594,0.135,0.1111111111111111,3.1356510416666667,2834
0.15,9,high,high,2,2,0.36311536637879377,0.02933766823078883,0.3443762623276632,0.9249795003756917,0.8703049445272812,0.8355998405482715,0.8218354875189862,0.11994791666666667,0.9249795003756917,0.8703049445272812,0.8355998405482715,0.8218354875189862,0.11994791666666667,0.8555870761152642,0.757430696468634,0.135,0.1111111111111111,3.1356510416666667,432
0.15,10,low,low,0,0,0.015225427705237462,0.0030952527797254137,0.009858825371410525,0.3839315207432485,0.15054168023114808,0.06026655308061415,0.024613493023018695,2.43046875,0.3839315207432485,0.15054168023114808,0.06026655308061415,0.024613493023018695,2.43046875,0.14740341262022344,0.02266279748681724,0.135,0.1,3.550442708333333,28410
0.15,10,low,mid,0,1,0.049907177107667886,0.003029301132271101,0.02429507146464572,0.3839315207432485,0.15054168023114808,0.06026655308061415,0.024613493023018695,2.43046875,0.6038312056281763,0.37079143716750435,0.2316836128684935,0.14734016168210343,0.9730989583333334,0.2318298330490549,0.05581956596651828,0.135,0.1,3.550442708333333,22213
0.15,10,low,high,0,2,0.07501836259133528,0.007178514299685439,0.059508329615029144,0.3839315207432485,0.15054168023114808,0.06026655308061415,0.024613493023018695,2.43046875,0.932171939009761,0.8852764075661531,0.8595466532874164,0.8567517099185407,0.146875,0.3578901901382002,0.13327099786400334,0.135,0.1,3.550442708333333,4742
0.15,10,mid,low,1,0,0.049907177107667886,0.003029301132271101,0.024295071464645723,0.6038312056281763,0.37079143716750435,0.2316836128684935,0.14734016168210343,0.9730989583333334,0.3839315207432485,0.15054168023114808,0.06026655308061415,0.024613493023018695,2.43046875,0.2318298330490549,0.05581956596651828,0.135,0.1,3.550442708333333,22213
0.15,10,mid,mid,1,1,0.10943281619821407,0.006286135477740046,0.05832535984847429,0.6038312056281763,0.37079143716750435,0.2316836128684935,0.14734016168210343,0.9730989583333334,0.6038312056281763,0.37079143716750435,0.2316836128684935,0.14734016168210343,0.9730989583333334,0.3646121248903769,0.13748628987674333,0.135,0.1,3.550442708333333,10036
0.15,10,mid,high,1,2,0.197117939723692,0.009732453442168073,0.13522633776900392,0.6038312056281763,0.37079143716750435,0.2316836128684935,0.14734016168210343,0.9730989583333334,0.932171939009761,0.8852764075661531,0.8595466532874164,0.8567517099185407,0.146875,0.5628745057850189,0.32825291145193924,0.135,0.1,3.550442708333333,3628
0.15,10,high,low,2,0,0.07501836259133528,0.007178514299685439,0.059508329615029124,0.932171939009761,0.8852764075661531,0.8595466532874164,0.8567517099185407,0.146875,0.3839315207432485,0.15054168023114808,0.06026655308061415,0.024613493023018695,2.43046875,0.3578901901382002,0.13327099786400334,0.135,0.1,3.550442708333333,4742
0.15,10,high,mid,2,1,0.197117939723692,0.009732453442168073,0.13522633776900395,0.932171939009761,0.8852764075661531,0.8595466532874164,0.8567517099185407,0.146875,0.6038312056281763,0.37079143716750435,0.2316836128684935,0.14734016168210343,0.9730989583333334,0.5628745057850189,0.32825291145193924,0.135,0.1,3.550442708333333,3628
0.15,10,high,high,2,2,0.2786206010030669,0.028830686614823405,0.28601945989655275,0.932171939009761,0.8852764075661531,0.8595466532874164,0.8567517099185407,0.146875,0.932171939009761,0.8852764075661531,0.8595466532874164,0.8567517099185407,0.146875,0.8689445238772177,0.7837143177932336,0.135,0.1,3.550442708333333,518
0.15,11,low,low,0,0,0.010191145214753537,0.0028393370714593327,0.007809292569902526,0.38446446702929726,0.1509655858211956,0.0605224692517802,0.02475239556161216,2.6919010416666667,0.38446446702929726,0.1509655858211956,0.0605224692517802,0.02475239556161216,2.6919010416666667,0.1478129264081216,0.02279060810233677,0.135,0.09090909090909091,3.973046875,30352
0.15,11,low,mid,0,1,0.041972401642337606,0.0027070726774634083,0.01931635990761181,0.38446446702929726,0.1509655858211956,0.0605224692517802,0.02475239556161216,2.6919010416666667,0.6058727357690765,0.37334138951381135,0.23409763347617862,0.1493933938360979,1.10703125,0.23293653844504025,0.0563617015792517,0.135,0.09090909090909091,3.973046875,24547
0.15,11,low,high,0,2,0.05562065966141337,0.006308343549388286,0.04770552000046085,0.38446446702929726,0.1509655858211956,0.0605224692517802,0.02475239556161216,2.6919010416666667,0.9340181167542116,0.8890662262296884,0.8657033198253663,0.8662313723444326,0.17411458333333332,0.3590967774536159,0.13421840367660454,0.135,0.09090909090909091,3.973046875,5601
0.15,11,mid,low,1,0,0.041972401642337606,0.0027070726774634083,0.019316359907611817,0.6058727357690765,0.37334138951381135,0.23409763347617862,0.1493933938360979,1.10703125,0.38446446702929726,0.1509655858211956,0.0605224692517802,0.02475239556161216,2.6919010416666667,0.23293653844504025,0.0563617015792517,0.135,0.09090909090909091,3.973046875,24547
0.15,11,mid,mid,1,1,0.07747876529622749,0.005736759579745602,0.04678673126761975,0.6058727357690765,0.37334138951381135,0.23409763347617862,0.1493933938360979,1.10703125,0.6058727357690765,0.37334138951381135,0.23409763347617862,0.1493933938360979,1.10703125,0.3670817719483052,0.1393837931241034,0.135,0.09090909090909091,3.973046875,11855
0.15,11,mid,high,1,2,0.17037487987270564,0.00863971778246052,0.11045125300541525,0.6058727357690765,0.37334138951381135,0.23409763347617862,0.1493933938360979,1.10703125,0.9340181167542116,0.8890662262296884,0.8657033198253663,0.8662313723444326,0.17411458333333332,0.5658961116557549,0.33192522027039245,0.135,0.09090909090909091,3.973046875,4395
0.15,11,high,low,2,0,0.05562065966141337,0.006308343549388286,0.047705520000460855,0.9340181167542116,0.8890662262296884,0.8657033198253663,0.8662313723444326,0.17411458333333332,0.38446446702929726,0.1509655858211956,0.0605224692517802,0.02475239556161216,2.6919010416666667,0.3590967774536159,0.13421840367660454,0.135,0.09090909090909091,3.973046875,5601
